t_us,ch1,ch2,ch3,ch4,label
1300000,4048,2084,1928,2173,up
1304000,4095,2076,1947,2148,up
1308000,4095,2080,1824,2152,up
1312000,4095,2026,1924,2128,up
1316000,4095,2080,1925,2126,up
1320000,4095,2072,1939,2128,up
1324000,4095,2080,1884,2126,up
1328000,4050,2058,1911,2088,up
1332000,4095,2074,1926,2086,up
1336000,4095,2050,1940,2114,up
1340000,4095,2020,1880,2087,up
1344000,4078,2040,1910,2064,up
1348000,4095,2042,1920,2006,up
1352000,4095,2019,1825,2077,up
1356000,4095,2018,1911,2074,up
1360000,4044,2006,1932,2064,up
1364000,4095,2008,1922,2032,up
1368000,4095,1990,1875,2061,up
1372000,4095,1928,1912,2062,up
1376000,4074,1982,1918,2066,up
1380000,4095,1990,1931,2032,up
1384000,4095,1988,1921,2054,up
1388000,4095,1946,1917,2066,up
1392000,4054,1964,1929,2061,up
1396000,4095,1974,1924,2014,up
1400000,4095,1972,1853,2030,up
1404000,4095,1921,1917,2052,up
1408000,4075,1946,1924,2048,up
1412000,4095,1960,1923,1986,up
1416000,4095,1947,1843,1997,up
1420000,4034,1940,1923,2026,up
1424000,4086,1938,1928,2017,up
1428000,4095,1958,1865,1984,up
1432000,4095,1920,1892,1978,up
1436000,4000,1912,1919,2002,up
1440000,4093,1920,1931,2006,up
1444000,4095,1926,1884,2000,up
1448000,4035,1935,1918,2003,up
1452000,3976,1912,1923,2016,up
1456000,4080,1908,1928,1985,up
1460000,4095,1909,1856,1988,up
1464000,4095,1899,1906,1993,up
1468000,4072,1892,1930,2002,up
1472000,4080,1889,1930,1966,up
1476000,4092,1870,1888,1975,up
1480000,4046,1888,1918,1970,up
1484000,4074,1894,1918,1976,up
1488000,4078,1882,1862,1946,up
1492000,4095,1856,1900,1954,up
1496000,4004,1885,1910,1944,up
1500000,4075,1882,1922,1950,up
1504000,4082,1874,1867,1942,up
1508000,4095,1852,1905,1936,up
1512000,3928,1877,1913,1940,up
1516000,4066,1876,1918,1910,up
1520000,4068,1860,1910,1935,up
1524000,3988,1854,1896,1910,up
1528000,4050,1859,1910,1930,up
1532000,4054,1862,1918,1919,up
1536000,4079,1841,1902,1952,up
1540000,3928,1837,1907,1934,up
1544000,4048,1858,1902,1934,up
1548000,4067,1857,1869,1936,up
1552000,4068,1832,1894,1934,up
1556000,3963,1845,1908,1932,up
1560000,4052,1858,1912,1906,up
1564000,4050,1860,1844,1911,up
1568000,4072,1844,1888,1916,up
1572000,4052,1869,1908,1923,up
1576000,4038,1870,1905,1900,up
1580000,4058,1864,1910,1892,up
1584000,4000,1836,1884,1904,up
1588000,4000,1830,1900,1916,up
