t_us,ch1,ch2,ch3,ch4,pc_time,label
366388163,1342,839,1026,1198,1770289237.356847,center
366392163,1403,918,1130,1297,1770289237.3608909,center
366396164,1445,904,1123,1312,1770289237.364877,center
366400162,1361,786,975,1184,1770289237.368823,center
366404162,1345,838,1028,1199,1770289237.37286,center
366408163,1398,907,1115,1286,1770289237.376982,center
366412163,1453,912,1128,1318,1770289237.380957,center
366416164,1368,788,975,1186,1770289237.3848388,center
366420162,1348,838,1026,1195,1770289237.388928,center
366424162,1387,895,1111,1272,1770289237.3929238,center
366428163,1458,923,1143,1325,1770289237.3969102,center
366432163,1402,815,1005,1221,1770289237.400918,center
366436164,1363,830,1017,1199,1770289237.405032,center
366440162,1385,880,1093,1254,1770289237.4089432,center
366444162,1451,927,1140,1321,1770289237.413002,center
366448163,1415,839,1038,1233,1770289237.416971,center
366452163,1363,819,1007,1196,1770289237.4210298,center
366456164,1367,862,1067,1225,1770289237.4249809,center
366460162,1441,929,1145,1318,1770289237.4290078,center
366464162,1422,855,1068,1258,1770289237.43293,center
366468163,1363,806,991,1190,1770289237.436905,center
366472163,1352,852,1053,1212,1770289237.4409962,center
366476164,1435,935,1159,1314,1770289237.44501,center
366480162,1437,873,1091,1281,1770289237.4490528,center
366484162,1355,794,977,1183,1770289237.4529989,center
366488163,1340,841,1029,1201,1770289237.4570282,center
366492164,1414,925,1139,1304,1770289237.461088,center
366496162,1446,895,1123,1311,1770289237.465031,center
366500162,1364,788,975,1186,1770289237.46894,center
366504162,1345,837,1025,1193,1770289237.473181,center
366508163,1402,912,1122,1287,1770289237.477181,center
366512164,1444,910,1124,1316,1770289237.481351,center
366516162,1354,780,961,1175,1770289237.485007,center
366520162,1344,844,1032,1200,1770289237.489072,center
366524163,1396,901,1116,1279,1770289237.49317,center
366528164,1461,919,1138,1323,1770289237.49719,center
366532164,1392,804,994,1207,1770289237.501133,center
366536162,1359,836,1023,1201,1770289237.5051892,center
366540162,1392,887,1105,1266,1770289237.509258,center
366544163,1464,925,1142,1327,1770289237.5132601,center
366548164,1418,829,1027,1230,1770289237.517272,center
366552164,1370,824,1013,1199,1770289237.5212312,center
366556162,1377,872,1077,1240,1770289237.525265,center
366560162,1448,929,1146,1321,1770289237.529275,center
366564163,1425,850,1061,1255,1770289237.533254,center
366568164,1369,812,998,1197,1770289237.537198,center
366572164,1364,856,1059,1220,1770289237.541265,center
366576162,1441,933,1148,1323,1770289237.545325,center
366580162,1435,867,1086,1278,1770289237.549282,center
366584163,1361,799,985,1186,1770289237.5532138,center
366588164,1346,843,1039,1201,1770289237.5573041,center
366592164,1422,932,1147,1312,1770289237.5613282,center
366596162,1443,885,1106,1298,1770289237.56529,center
366600162,1362,791,977,1186,1770289237.5692601,center
366604163,1344,839,1026,1194,1770289237.573313,center
366608164,1406,917,1126,1292,1770289237.5773911,center
366612162,1442,903,1125,1311,1770289237.581324,center
366616162,1353,782,964,1176,1770289237.5852532,center
366620162,1339,842,1030,1196,1770289237.5893528,center
366624163,1396,906,1119,1283,1770289237.5933912,center
366628164,1452,915,1131,1317,1770289237.597346,center
366632164,1373,792,979,1193,1770289237.601291,center
366636162,1349,836,1024,1201,1770289237.605344,center
366640162,1389,891,1109,1267,1770289237.609447,center
366644163,1459,923,1140,1322,1770289237.613426,center
366648164,1402,820,1018,1222,1770289237.6173959,center
366652164,1362,829,1015,1198,1770289237.621397,center
366656162,1379,877,1085,1246,1770289237.625368,center
366660163,1451,928,1144,1321,1770289237.629397,center
366664163,1421,844,1051,1244,1770289237.633389,center
366668164,1368,815,1000,1196,1770289237.6373918,center
366672162,1367,861,1062,1224,1770289237.6414049,center
366676162,1441,929,1147,1318,1770289237.645432,center
366680163,1426,860,1072,1266,1770289237.649434,center
366684163,1367,804,988,1186,1770289237.653344,center
366688164,1353,849,1049,1204,1770289237.657461,center
366692162,1432,934,1157,1310,1770289237.661383,center
366696163,1437,877,1097,1288,1770289237.665379,center
366700163,1355,793,978,1184,1770289237.669353,center
366704164,1342,840,1029,1199,1770289237.6734378,center
366708164,1404,921,1134,1297,1770289237.677494,center
366712162,1440,900,1122,1308,1770289237.6814,center
366716163,1358,786,973,1184,1770289237.685357,center
366720163,1340,838,1026,1198,1770289237.6894941,center
366724164,1400,911,1117,1283,1770289237.693563,center
366728162,1447,911,1124,1315,1770289237.697512,center
366732162,1361,783,962,1175,1770289237.7014148,center
366736162,1344,839,1029,1202,1770289237.705472,center
366740163,1390,897,1113,1277,1770289237.7094688,center
366744164,1461,921,1138,1323,1770289237.713504,center
366748162,1395,811,1002,1217,1770289237.717551,center
366752162,1362,833,1020,1201,1770289237.7215,center
366756163,1390,884,1095,1256,1770289237.725487,center
366760163,1459,926,1141,1319,1770289237.729533,center
366764164,1414,835,1036,1230,1770289237.733515,center
366768162,1364,822,1011,1200,1770289237.737557,center
366772162,1373,865,1072,1239,1770289237.741516,center
366776163,1452,932,1148,1323,1770289237.7455869,center
366780163,1431,854,1067,1256,1770289237.7495449,center
366784164,1367,808,997,1192,1770289237.753424,center
366788162,1360,853,1057,1218,1770289237.7575629,center
366792162,1440,934,1149,1317,1770289237.7616022,center
366796163,1436,869,1087,1278,1770289237.765598,center
366800163,1360,798,984,1185,1770289237.769526,center
366804164,1346,843,1039,1200,1770289237.773588,center
366808162,1418,928,1143,1308,1770289237.77757,center
366812162,1444,891,1117,1305,1770289237.781596,center
366816163,1362,789,975,1186,1770289237.785494,center
366820163,1341,837,1027,1199,1770289237.7896042,center
366824164,1405,915,1126,1293,1770289237.793664,center
366828162,1443,907,1130,1317,1770289237.797596,center
366832162,1353,780,964,1177,1770289237.8015518,center
366836163,1344,843,1030,1202,1770289237.805639,center
366840163,1398,904,1119,1284,1770289237.809642,center
366844164,1455,918,1134,1318,1770289237.813673,center
366848162,1379,800,989,1198,1770289237.817576,center
366852162,1348,834,1022,1198,1770289237.821654,center
